From,To
P12110,COL6A2
P12111,COL6A3
P12259,F5
P12268,IMPDH2
P12272,PTHLH
P12314,FCGR1A
P12461,TMP1
P12821,ACE
P12829,MYL4
P12883,MYH7
P12931,SRC
P13423,pagA
P13500,CCL2
P13533,MYH6
P13569,CFTR
P13591,NCAM1
P13612,ITGA4
P13631,RARG
P13637,ATP1A3
P13639,EEF2
P13866,SLC5A1
P13942,COL11A2
P13945,ADRB3
P14151,SELL
P14210,HGF
P14324,FDPS
P14415,ATP1B2
P14416,DRD2
P14555,PLA2G2A
P14679,TYR
P14778,IL1R1
P14780,MMP9
P14784,IL2RB
P14867,GABRA1
P14902,IDO1
P15056,BRAF
P15144,ANPEP
P15248,IL9
P15260,IFNGR1
P15328,FOLR1
P15391,CD19
P15502,ELN
P15509,CSF2RA
P15538,CYP11B1
P15559,NQO1
P15692,VEGFA
P15941,MUC1
P16066,NPR1
P16109,SELP
P16233,PNLIP
P16234,PDGFRA
P16389,KCNA2
P16410,CTLA4
P16422,EPCAM
P16444,DPEP1
P16473,TSHR
P16499,PDE6A
P16581,SELE
P17181,IFNAR1
P17252,PRKCA
P17301,ITGA2
P17568,NDUFB7
P17612,PRKACA
P17643,TYRP1
P17658,KCNA6
P17752,TPH1
P17787,CHRNB2
P17813,ENG
P17948,FLT1
P17980,PSMC3
P18084,ITGB5
P18089,ADRA2B
P18177,toxB
P18405,SRD5A1
P18505,GABRB1
P18507,GABRG2
P18545,PDE6G
P18564,ITGB6
P18825,ADRA2C
P19235,EPOR
P19404,NDUFV2
P19793,RXRA
P19971,TYMP
P20083,parE
P20138,CD33
P20273,CD22
P20292,ALOX5AP
P20309,CHRM3
P20618,PSMB1
P20648,ATP4A
P20701,ITGAL
P20711,DDC
P20815,CYP3A5
P20831,gyrA
P20839,IMPDH1
P20908,COL5A1
P20916,MAG
P21127,CDK11B
P21397,MAOA
P21452,TACR2
P21453,S1PR1
P21554,CNR1
P21709,EPHA1
P21728,DRD1
P21730,C5AR1
P21731,TBXA2R
P21802,FGFR2
P21817,RYR1
P21860,ERBB3
P21917,DRD4
P21918,DRD5
P21964,COMT
P22001,KCNA3
P22102,GART
P22118,gyrB
P22301,IL10
P22303,ACHE
P22455,FGFR4
P22459,KCNA4
P22460,KCNA5
P22607,FGFR3
P22612,PRKACG
P22694,PRKACB
P22748,CA4
P22888,LHCGR
P22894,MMP8
P23219,PTGS1
P23280,CA6
P23415,GLRA1
P23443,RPS6KB1
P23458,JAK1
P23510,TNFSF4
P23921,RRM1
P23945,FSHR
P23975,SLC6A2
P24043,LAMA2
P24228,dacB
P24385,CCND1
P24394,IL4R
P24462,CYP3A7
P24530,EDNRB
P24723,PRKCH
P24821,TNC
P24941,CDK2
P25021,HRH2
P25024,CXCR1
P25025,CXCR2
P25092,GUCY2C
P25100,ADRA1D
P25101,EDNRA
P25103,TACR1
P25105,PTAFR
P25116,F2R
P25391,LAMA1
P25786,PSMA1
P25787,PSMA2
P25788,PSMA3
P25789,PSMA4
P25940,COL5A3
P25942,CD40
P26010,ITGB7
P26358,DNMT1
P26439,HSD3B2
P27338,MAOB
P27361,MAPK3
P27487,DPP4
P27815,PDE4A
P27986,PIK3R1
P28062,PSMB8
P28065,PSMB9
P28066,PSMA5
P28070,PSMB4
P28072,PSMB6
P28074,PSMB5
P28221,HTR1D
P28222,HTR1B
P28223,HTR2A
P28331,NDUFS1
P28335,HTR2C
P28340,POLD1
P28472,GABRB3
P28482,MAPK1
P28702,RXRB
P28838,LAP3
P28907,CD38
P28908,TNFRSF8
P29218,IMPA1
P29274,ADORA2A
P29275,ADORA2B
P29279,CTGF
P29317,EPHA2
P29320,EPHA3
P29322,EPHA8
P29323,EPHB2
P29371,TACR3
P29400,COL4A5
P29436,rpmH
P29459,IL12A
P29460,IL12B
P29466,CASP1
P29597,TYK2
P29965,CD40LG
P30203,CD6
P30291,WEE1
P30411,BDKRB2
P30518,AVPR2
P30530,AXL
P30531,SLC6A1
P30532,CHRNA5
P30542,ADORA1
P30556,AGTR1
P30559,OXTR
P30872,SSTR1
P30874,SSTR2
P30926,CHRNB4
P30939,HTR1F
P30968,GNRHR
P30988,CALCR
P30989,NTSR1
P31213,SRD5A2
P31327,CPS1
P31350,RRM2
P31358,CD52
P31391,SSTR4
P31639,SLC5A2
P31644,GABRA5
P31645,SLC6A4
P31749,AKT1
P31751,AKT2
P31785,IL2RG
P31944,CASP14
P32238,CCKAR
P32239,CCKBR
P32245,MC4R
P32246,CCR1
P32297,CHRNA3
P32745,SSTR3
P32754,HPD
P32927,CSF2RB
P32942,ICAM3
P33402,GUCY1A2
P33681,CD80
P33981,TTK
P34903,GABRA3
P34969,HTR7
P34972,CNR2
P34981,TRHR
P34995,PTGER1
P34998,CRHR1
P35218,CA5A
P35225,IL13
P35346,SSTR5
P35348,ADRA1A
P35354,PTGS2
P35367,HRH1
P35368,ADRA1B
P35372,OPRM1
P35408,PTGER4
P35462,DRD3
P35498,SCN1A
P35499,SCN4A
P35590,TIE1
P35613,BSG
P35790,CHKA
P35913,PDE6B
P35916,FLT4
P35968,KDR
P35998,PSMC2
P36507,MAP2K2
P36544,CHRNA7
P36888,FLT3
P36897,TGFBR1
P37023,ACVRL1
P37088,SCNN1A
P37231,PPARG
P37268,FDFT1
P37288,AVPR1A
P37840,SNCA
P38435,GGCX
P38484,IFNGR2
P39059,COL15A1
P39060,COL18A1
P39086,GRIK1
P39877,PLA2G5
P40189,IL6ST
P40238,MPL
P40306,PSMB10
P40933,IL15
P41143,OPRD1
P41145,OPRK1
P41146,OPRL1
P41180,CASR
P41217,CD200
P41231,P2RY2
P41594,GRM5
P41595,HTR2B
P41597,CCR2
P41743,PRKCI
P41968,MC3R
P41972,ileS
P42081,CD86
P42261,GRIA1
P42262,GRIA2
P42263,GRIA3
P42336,PIK3CA
P42338,PIK3CB
P42345,MTOR
P42574,CASP3
P42575,CASP2
P42685,FRK
P43088,PTGFR
P43115,PTGER3
P43116,PTGER2
P43119,PTGIR
P43166,CA7
P43220,GLP1R
P43235,CTSK
P43304,GPD2
P43405,SYK
P43490,NAMPT
P43626,KIR2DL1
P43627,KIR2DL2
P43628,KIR2DL3
P43681,CHRNA4
P43686,PSMC4
P45378,TNNT3
P45452,MMP13
P45983,MAPK8
P45984,MAPK9
P46098,HTR3A
P46598,HSP90
P46663,BDKRB1
P47869,GABRA2
P47870,GABRB2
P47871,GCGR
P47872,SCTR
P47901,AVPR1B
P47989,XDH
P48039,MTNR1A
P48058,GRIA4
P48067,SLC6A9
P48167,GLRB
P48169,GABRA4
P48357,LEPR
P48371,gyrA
P48372,gyrA
P48374,parC
P48443,RXRG
P48547,KCNC1
P48551,IFNAR2
P48556,PSMD8
P48736,PIK3CG
P48764,SLC9A3
P48788,TNNI2
P48860,rplL
P48940,rpsG
P49137,MAPKAPK2
P49286,MTNR1B
P49336,CDK8
P49354,FNTA
P49356,FNTB
P49662,CASP4
P49720,PSMB3
P49721,PSMB2
P49763,PGF
P49765,VEGFB
P49767,VEGFC
P49768,PSEN1
P49810,PSEN2
P49821,NDUFV1
P49840,GSK3A
P49841,GSK3B
P49895,DIO1
P50391,NPY4R
P50406,HTR6
P50579,METAP2
P50613,CDK7
P50750,CDK9
P50993,ATP1A2
P51160,PDE6C
P51164,ATP4B
P51168,SCNN1B
P51170,SCNN1G
P51449,RORC
P51451,BLK
P51649,ALDH5A1
P51665,PSMD7
P51671,CCL11
P51681,CCR5
P51686,CCR9
P51787,KCNQ1
P51788,CLCN2
P51878,CASP5
P51970,NDUFA8
P52333,JAK3
P52732,KIF11
P53350,PLK1
P53420,COL4A4
P53582,METAP1
P53779,MAPK10
P54284,CACNB3
P54289,CACNA2D1
P54709,ATP1B3
P54710,FXYD2
P54750,PDE1A
P54753,EPHB3
P54756,EPHA5
P54760,EPHB4
P54762,EPHB1
P54764,EPHA4
P55017,SLC12A3
P55036,PSMD4
P55055,NR1H2
P55157,MTTP
P55210,CASP7
P55211,CASP9
P55212,CASP6
P55268,LAMB2
P55786,NPEPPS
P56181,NDUFV3
P56373,P2RX3
P56524,HDAC4
P56556,NDUFA6
P56696,KCNQ4
P56817,BACE1
P56856,CLDN18
P57789,KCNK10
P60422,rplB
P60430,rplB
P60434,rplB
P60438,rplC
P60624,rplX
P60630,rplX
P60723,rplD
P60880,SNAP25
P60896,SEM1
P60900,PSMA6
P61073,CXCR4
P61175,rplV
P61183,rplV
P61361,rpmG3
P61812,TGFB2
P62191,PSMC1
P62195,PSMC5
P62333,PSMC6
P62399,rplE
P62508,ESRRG
P62593,bla
P62593,blaT-3
P62593,blaT-4
P62593,blaT-5
P62593,blaT-6
P62877,RBX1
P62937,PPIA
P62942,FKBP1A
P62955,CACNG7
P63027,VAMP2
P63252,KCNJ2
P66051,rplJ
P66058,rplK
P66063,rplL
P66084,rplS
P66096,rplA
P66097,rplA
P66113,rplT
P66114,rplT
P66136,rpmA
P66137,rpmA
P66156,rpmB
P66157,rpmB
P66176,rpmC
P66201,rpmE2
P66202,rpmE2
P66235,rpmG3
P66257,rpmH
P66258,rpmH
P66279,rpmI
P66280,rpmI
P66303,rpmJ
P66321,rplI
P66322,rplI
P66340,rpsJ
P66341,rpsJ
P66360,rpsK
P66376,rpsL
P66393,rpsM
P66394,rpsM
P66420,rpsN
P66421,rpsZ
P66424,rpsN
P66445,rpsP
P66446,rpsP
P66473,rpsR
P66475,rpsR
P66496,rpsS
P66509,rpsT
P66525,rpsU
P66526,rpsU
P66555,rpsC
P66566,rpsD
P66567,rpsD
P66582,rpsE
P66583,rpsE
P66599,rpsF
P66603,rpsF
P66619,rpsG
P66633,rpsH
P66634,rpsH
P66648,rpsI
P68331,gK
P68363,TUBA1B
P68366,TUBA4A
P68371,TUBB4B
P68400,CSNK2A1
P68679,rpsU
P68871,HBB
P68900,rplJ
P68901,rpsB
P68919,rplY
P69905,HBA1
P69905,HBA2
P72355,pbp4
P72524,gyrA
P72525,parC
P78334,GABRE
P78527,PRKDC
P78552,IL13RA1
P80192,MAP3K9
P80404,ABAT
P95029,fas
P98088,MUC5AC
P9WGR1,inhA
P9WH25,rpsI
P9WH27,rpsH
P9WH29,rpsG
P9WH31,rpsF
P9WH33,rpsE
P9WH35,rpsD
P9WH37,rpsC
P9WH39,rpsB
P9WH41,rpsT
P9WH43,rpsA
P9WH45,rpsS
P9WH47,rpsR2
P9WH49,rpsR1
P9WH51,rpsQ
P9WH53,rpsP
P9WH55,rpsO
P9WH57,rpsZ
P9WH59,rpsN
P9WH61,rpsM
P9WH63,rpsL
P9WH65,rpsK
P9WH67,rpsJ
P9WH79,rplI
P9WH81,rplF
P9WH83,rplE
P9WH85,rplD
P9WH87,rplC
P9WH89,rpmJ
P9WH91,rpmI
P9WH93,rpmH
P9WH95,rpmG2
